OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,FRPMcount,FRPMpct,DistrctAreaSqMi,Shape__Area,Shape__Length,Longitude,Latitutde,cds_code,recode_vaccine_mandates
422,2020-21,626820,2966340,2.97E+13,Nevada,Nevada City Elementary,Elementary,PK,8,KG,8,,1,1,1,"32 - Town, Distant",SY 2019-20 Boundary Adjustment/Correction,696,0,696,4,0.6,5,0.7,7,1,2,0.3,53,7.6,0,0,576,82.8,49,7,0,0,4,0.6,1,0.1,1,0.1,0,0,67,9.6,218,31.3,218,31.3,164.1211976,710375353.2,201289.7986,-120.8919707,39.27938442,2.97E+13,"[""No independent mandates""]"
434,2020-21,610440,3066480,3.07E+13,Orange,Cypress Elementary,Elementary,KG,6,KG,6,,"38,47","29,34","65,72","21 - Suburban, Large",,3540,0,3540,87,2.5,7,0.2,1328,37.5,196,5.5,998,28.2,21,0.6,686,19.4,216,6.1,1,0,598,16.9,12,0.3,277,7.8,0,0,402,11.4,1146,32.4,1130,31.9,6.282381559,23635048.91,26014.25486,-118.04135,33.82031684,3.07E+13,No Comment
439,2020-21,618030,3066530,3.07E+13,Orange,Huntington Beach City Elementary,Elementary,KG,8,KG,8,,48,"34,37","72,74","21 - Suburban, Large",,5588,278,5310,25,0.4,9,0.2,618,11.1,47,0.8,1110,19.9,15,0.3,3051,54.6,604,10.8,109,2,280,5,10,0.2,35,0.6,0,0,674,12.1,1096,19.6,1071,19.2,13.72595912,51463718.5,46551.47952,-117.9970872,33.6729603,3.07E+13,"["" Indepedent staff mandate without testing option""]"
448,2020-21,635310,3066670,3.07E+13,Orange,Santa Ana Unified,Unified,PK,12,KG,12,,"45,46,48","34,37","68,69,74","11 - City, Large",,46593,2676,43917,101,0.2,131,0.3,916,2,115,0.2,44673,95.9,73,0.2,400,0.9,160,0.3,24,0.1,16245,34.9,210,0.5,5541,11.9,385,0.8,6227,13.4,40700,87.4,39390,84.5,26.29643378,98701636.77,62755.03383,-117.8757236,33.7202708,3.07E+13,"[""No independent mandates""]"
453,2020-21,684500,3073650,3.07E+13,Orange,Irvine Unified,Unified,PK,12,KG,12,,45,37,"68,74","11 - City, Large",SY 2018-19 Boundary Adjustment/Correction,35660,0,35660,690,1.9,47,0.1,17155,48.1,1006,2.8,4179,11.7,88,0.2,9129,25.6,3195,9,171,0.5,5561,15.6,51,0.1,37,0.1,0,0,3162,8.9,6783,19,6783,19,61.09147048,229063929.3,87339.71134,-117.7651849,33.67519883,3.07E+13,"[""No independent mandates""]"
466,2020-21,633600,3166910,3.17E+13,Placer,Roseville City Elementary,Elementary,KG,8,KG,8,,4,4,6,"12 - City, Midsize ",,11008,0,11008,266,2.4,39,0.4,899,8.2,654,5.9,2632,23.9,42,0.4,5523,50.2,911,8.3,42,0.4,1005,9.1,38,0.3,152,1.4,11,0.1,1364,12.4,3118,28.3,3041,27.6,42.57475226,181731608.2,94506.42823,-121.3357072,38.78351801,3.17E+13,"[""No independent mandates""]"
479,2020-21,619260,3367090,3.37E+13,Riverside,Jurupa Unified,Unified,PK,12,KG,12,,"41,42",31,60,"21 - Suburban, Large",,18768,0,18768,371,2,26,0.1,248,1.3,97,0.5,16239,86.5,40,0.2,1364,7.3,156,0.8,227,1.2,5166,27.5,97,0.5,63,0.3,0,0,2288,12.2,14323,76.3,13640,72.7,42.57979195,160873595.4,61902.7147,-117.4714705,34.00344821,3.37E+13,"[""No independent mandates""]"
493,2020-21,600029,3375200,3.38E+13,Riverside,Murrieta Valley Unified,Unified,PK,12,KG,12,,"42,50",28,"67,75","21 - Suburban, Large",,22950,0,22950,1246,5.4,75,0.3,932,4.1,844,3.7,9158,39.9,135,0.6,8479,36.9,1859,8.1,222,1,1105,4.8,77,0.3,313,1.4,0,0,3727,16.2,8287,36.1,8075,35.2,167.7589214,626952610.5,145328.3966,-117.2984568,33.53216128,3.38E+13,"[""No independent mandates""]"
495,2020-21,603060,3467280,3.47E+13,Sacramento,Arcohe Union Elementary,Elementary,KG,8,KG,8,,"03,07","03,05,08","08,09","41 - Rural, Fringe",SY 2013-14 Boundary Adjustment/Correction,466,0,466,7,1.5,3,0.6,16,3.4,1,0.2,197,42.3,2,0.4,210,45.1,28,6,2,0.4,62,13.3,0,0,2,0.4,6,1.3,58,12.4,187,40.1,176,37.8,119.4995275,503811249.4,130765.9883,-121.1744181,38.33492484,3.47E+13,couldn't be reached
498,2020-21,613890,3467330,3.47E+13,Sacramento,Folsom-Cordova Unified,Unified,PK,12,KG,12,,7,"01,04,08","06,08","13 - City, Small",SY 2013-14 Boundary Adjustment/Correction,20096,683,19413,942,4.7,51,0.3,3671,18.3,464,2.3,4563,22.7,158,0.8,8362,41.6,1847,9.2,38,0.2,2401,11.9,36,0.2,536,2.7,0,0,2481,12.3,6251,31.1,6044,30.1,91.68773752,389567512.4,123299.3026,-121.1834545,38.61691876,3.47E+13,"[""No independent mandates""]"
510,2020-21,617340,3567470,3.57E+13,San Benito,Hollister,Elementary,KG,8,KG,8,,20,12,30,"32 - Town, Distant",SY 2018-19 Boundary Adjustment/Correction,5957,542,5415,28,0.5,15,0.3,93,1.6,30,0.5,4923,82.6,19,0.3,694,11.7,54,0.9,101,1.7,1671,28.1,21,0.4,56,0.9,666,11.2,859,14.4,3882,65.2,3790,63.6,35.55299417,144010078.2,80533.25762,-121.3942647,36.8323799,3.57E+13,"[""No independent mandates""]"
513,2020-21,629770,3567520,3.57E+13,San Benito,Panoche Elementary,Elementary,KG,8,KG,8,,20,12,30,"43 - Rural, Remote",SY 2018-19 Boundary Adjustment/Correction,7,0,7,0,0,0,0,0,0,0,0,6,85.7,0,0,1,14.3,0,0,0,0,2,28.6,0,0,0,0,0,0,0,0,5,71.4,5,71.4,339.1041168,1363782973,201336.495,-120.8299488,36.55504442,3.57E+13,couldn't be reached
529,2020-21,613920,3667710,3.67E+13,San Bernardino,Fontana Unified,Unified,KG,12,KG,12,,"08,31,35",20,"47,52","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,35461,0,35461,1722,4.9,41,0.1,520,1.5,402,1.1,30983,87.4,72,0.2,1346,3.8,374,1.1,1,0,9185,25.9,261,0.7,330,0.9,0,0,4286,12.1,30049,84.7,29550,83.3,40.53991925,153525543.9,86217.78789,-117.4597542,34.10356162,3.67E+13,"[""No independent mandates""]"
538,2020-21,632370,3667850,3.67E+13,San Bernardino,Rialto Unified,Unified,PK,12,KG,12,,"08,31,35","20,23","40,47","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,24461,0,24461,2029,8.3,52,0.2,148,0.6,107,0.4,21062,86.1,99,0.4,676,2.8,288,1.2,0,0,5438,22.2,211,0.9,1924,7.9,0,0,2766,11.3,21537,88,21292,87,55.15776457,209313662.6,113041.0883,-117.4532164,34.1911844,3.67E+13,couldn't be reached
546,2020-21,636820,3673890,3.67E+13,San Bernardino,Silver Valley Unified,Unified,PK,12,KG,12,,8,16,33,"33 - Town, Remote",SY 2018-19 Boundary Adjustment/Correction,2014,0,2014,174,8.6,16,0.8,27,1.3,33,1.6,777,38.6,46,2.3,760,37.7,170,8.4,11,0.5,91,4.5,15,0.7,76,3.8,0,0,325,16.1,1133,56.3,1133,56.3,3286.118162,12754172143,598024.6907,-116.5426866,35.12981666,3.67E+13,"[""No independent mandates""]"
560,2020-21,612750,3768080,3.77E+13,San Diego,Encinitas Union Elementary,Elementary,KG,6,KG,6,,49,36,"75,76,77","21 - Suburban, Large",,4918,0,4918,30,0.6,22,0.4,200,4.1,41,0.8,1059,21.5,8,0.2,3249,66.1,227,4.6,82,1.7,452,9.2,2,0,10,0.2,22,0.4,635,12.9,755,15.4,679,13.8,23.77039818,87893890.61,51266.56747,-117.2520924,33.0631483,3.77E+13,"[""No independent mandates""]"
565,2020-21,616230,3768130,3.77E+13,San Diego,Grossmont Union High,High,KG,12,9,12,,"50,51,52,53","38,39,40","71,77,79","21 - Suburban, Large",,22021,5025,16996,1355,6.2,186,0.8,517,2.3,367,1.7,8851,40.2,148,0.7,9306,42.3,1194,5.4,97,0.4,2404,10.9,58,0.3,502,2.3,4,0,3338,15.2,12776,58,12492,56.7,474.3228871,1742560371,241844.2766,-116.8238682,32.77408775,3.77E+13,"[""No independent mandates""]"
605,2020-21,632880,3968650,3.97E+13,San Joaquin,Ripon Unified,Unified,KG,12,KG,12,,"09,10",5,12,"23 - Suburban, Small",,4728,1421,3307,131,2.8,16,0.3,239,5.1,94,2,1625,34.4,12,0.3,2163,45.7,429,9.1,19,0.4,412,8.7,5,0.1,153,3.2,4,0.1,536,11.3,1701,36,1664,35.2,54.36363336,225742958.1,119955.0519,-121.1252678,37.77446583,3.97E+13,"[""No independent mandates""]"
608,2020-21,601410,3976760,3.98E+13,San Joaquin,Lammersville Joint Unified,Unified,KG,12,KG,12,,"09,10,15","05,07","13,16","41 - Rural, Fringe",,6397,0,6397,350,5.5,69,1.1,2810,43.9,546,8.5,1041,16.3,28,0.4,1056,16.5,375,5.9,122,1.9,727,11.4,15,0.2,49,0.8,0,0,443,6.9,901,14.1,846,13.2,53.70875693,222851214,71453.11302,-121.5577123,37.74547976,3.98E+13,couldn't be reached
609,2020-21,603300,4068700,4.07E+13,San Luis Obispo,Atascadero Unified,Unified,PK,12,KG,12,,24,17,35,"23 - Suburban, Small",,4397,0,4397,51,1.2,34,0.8,46,1,50,1.1,1250,28.4,5,0.1,2765,62.9,154,3.5,42,1,320,7.3,45,1,69,1.6,6,0.1,577,13.1,1460,33.2,1390,31.6,1205.055869,4693392583,536886.373,-120.0985246,35.27473858,4.07E+13,"[""No independent mandates""]"
